county_name,crime rate per 100000,Murder rate per 100000,Rape rate per 100000,Robbery rate per 100000,Aggrevated Assault rate per 100000,Burglery rate per 100000,Larceny rate per 100000,Motor Vehicle Theft rate per 100000,Arson rate per 100000
"Crane County, TX",188.5606537,0,20.95118374,0,167.6094699,272.3653886,691.3890635,20.95118374,0
"Dawson County, TX",188.26937,0,79.65242578,14.48225923,94.13468501,622.737147,1484.431571,181.0282404,0
"Warren County, NY",188.2547408,1.530526348,27.54947426,13.77473713,145.4000031,260.1894792,1683.578983,38.2631587,21.42736887
"Hettinger County, ND",187.9699248,0,0,37.59398496,150.3759398,112.7819549,263.1578947,150.3759398,37.59398496
"Cass County, MO",187.7962262,0.993630826,22.85350901,20.86624735,143.082839,343.7962659,1723.949484,103.3376059,10.92993909
"Sawyer County, WI",187.7308787,0,24.22333919,6.055834797,157.4517047,993.1569067,1429.177012,72.67001756,6.055834797
"Natrona County, WY",187.7168933,3.704938683,8.644856928,14.81975473,160.5473429,585.380312,2147.629457,164.2522816,28.40452991
"Okmulgee County, OK",187.6362899,2.535625539,10.14250216,17.74937877,157.2087834,679.5476444,1597.444089,182.5650388,35.49875754
"Franklin County, MO",187.5933056,2.946491711,10.80380294,20.62544197,153.2175689,437.0629371,1995.757052,109.0201933,3.928655614
"Wheatland County, MT",187.4414246,0,0,0,187.4414246,46.86035614,93.72071228,46.86035614,46.86035614
"Moody County, SD",187.3828857,0,62.4609619,0,124.9219238,156.1524047,1139.912555,62.4609619,15.61524047
"Lawrence County, OH",187.3475782,1.615065329,20.99584928,32.30130659,130.8202917,626.6453478,1615.065329,124.3600304,9.690391976
"Haskell County, TX",187.2340426,0,0,0,187.2340426,510.6382979,782.9787234,68.08510638,0
"Monroe County, IA",187.2191712,0,12.48127808,0,174.7378932,411.8821767,1210.683974,62.40639041,12.48127808
"White County, GA",187.0705472,7.195021045,21.58506314,7.195021045,151.095442,762.6722308,1532.539483,100.7302946,0
"Churchill County, NV",187.0091011,4.155757802,8.311515605,24.93454681,149.6072809,635.8309438,1599.966754,162.0745543,4.155757802
"Bonneville County, ID",186.9471804,0,38.13350447,13.95128212,134.8623939,393.4261559,1743.910265,89.28820559,7.440683799
"Gallatin County, MT",186.8665541,1.055743243,58.06587838,10.55743243,117.1875,253.3783784,1981.630068,90.79391892,43.28547297
"Campbell County, KY",186.8378248,3.297138084,43.96184112,80.23036005,59.34848551,816.5911988,2510.221128,157.163582,24.17901262
"Marshall County, AL",186.7876741,1.055297594,24.27184466,30.60363022,130.8569016,844.2380751,1739.130435,134.0227944,8.442380751
"Van Zandt County, TX",186.7342467,7.621805987,1.905451497,15.24361197,163.8688287,636.4207999,1139.459995,182.9233437,1.905451497
"Erie County, OH",186.7241742,7.88975384,17.09446665,46.02356406,117.0313486,758.7313276,2291.97349,61.80307174,11.83463076
"Blanco County, TX",186.5149678,0,9.325748391,0,177.1892194,447.6359228,708.7568777,46.62874196,0
